gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,direction
CHCHD10,6022.742277937377,1.535136070657214,0.4546849651505209,3.376263101527924,7.347761819374748e-4,0.036614644866824725,Up
GATA2,326.0626517537196,1.129722085681692,0.33459793388434084,3.376357028170409,7.345253600233925e-4,0.036614644866824725,Up
MESP2,57.16643562192093,2.9207282665915235,0.8672171809578363,3.3679317369676607,7.573434530037729e-4,0.037174670246243414,Up
PIDD1,141.65583032435023,1.0692861409928895,0.31781655086980093,3.364475947103652,7.668916845603273e-4,0.03751487547714393,Up
CDK3,222.87274965331443,1.561652472460899,0.46459139219507545,3.3613461176766335,7.756356284613329e-4,0.037813555995701645,Up
UBALD2,401.6456150126547,1.0699339624777233,0.31848356610128825,3.3594636469796657,7.809392509419838e-4,0.03794305858898798,Up
LOC101116687,730.0336460904341,-1.2496771970025644,0.37213180153162967,-3.3581574911338152,7.846389400534965e-4,0.03799402002630664,Down
SCN3A,129.1638147127436,-1.4598766708647664,0.4354513019515865,-3.3525601239953935,8.006784858900883e-4,0.0383816880878349,Down
KMT5C,113.60981873648683,1.1024821099015514,0.3292080180107062,3.3488920366019075,8.11354050060684e-4,0.03850707814410525,Up
ERICH3,61.940745411473145,-1.666802733535131,0.4990074154815859,-3.3402364009491126,8.370710293440024e-4,0.038953698258401254,Down
ESR1,164.9642547469001,-1.2596632019415472,0.37679591122524986,-3.3430914837834225,8.285058139123536e-4,0.038953698258401254,Down
MZT2B,852.8952007225668,1.5187636324363845,0.45457098123542417,3.3410923598966176,8.344945802708852e-4,0.038953698258401254,Up
SPPL2B,1062.4614464098145,1.0530170026363912,0.315665886598556,3.335859360614256,8.503617084305153e-4,0.03916128561647825,Up
