D0_R1	D0_R2	D0_R3	D7_R1	D7_R2	D7_R3	D14_R1	D14_R2	D14_R3
ORC1	20	14	19	12	3	23	9	14	14
PRPF38A	964	708	727	574	505	822	351	403	743
TUT4	1109	664	735	406	374	1004	505	557	758
GPX7	157	130	151	102	106	172	83	51	127
LOC105609510	0	1	4	0	3	0	1	8	3
SHISAL2A	25	18	42	25	33	14	20	23	14
LOC101116001	50	79	71	148	120	135	63	47	71
ZYG11B	1953	833	1154	765	615	1388	782	883	1446
LOC114111252	0	0	0	0	0	0	0	0	0
ZYG11A	4	3	4	0	10	3	1	0	1
LOC101116777	4	4	3	3	3	5	9	7	17
LOC101117028	2059	1331	1450	1771	1780	1068	1414	1261	2489
SCP2	17207	8746	9796	9978	8338	7249	8224	8495	27224
TRNAC-GCA_2	0	0	0	0	0	0	0	0	4
LOC114114889	7	3	0	2	1	1	5	0	0
PODN	31	109	20	41	31	66	20	15	43
SLC1A7	0	2	1	1	2	2	2	3	1
CPT2	2163	1213	1676	931	1025	1321	1836	1541	2396
CZIB	485	305	356	634	664	445	433	329	426
MAGOH	215	227	276	253	296	180	150	164	182
LRP8	19	31	7	20	17	55	11	29	20
DMRTB1	0	0	0	0	0	0	0	0	0
GLIS1	187	72	107	191	191	95	310	232	183
TRNAW-CCA	1	1	0	0	0	0	0	0	0
NDC1	1449	686	835	712	479	635	607	732	974
YIPF1	496	246	324	381	343	374	280	304	443
DIO1	3839	3894	2585	2609	2361	1522	4696	3009	8870
HSPB11	112	96	75	177	153	127	51	55	116
LRRC42	422	214	197	353	250	338	174	168	280
TRNAG-UCC	0	0	0	0	0	0	2	0	0
LDLRAD1	11	33	10	43	100	484	1	28	17
TMEM59	8999	4628	5396	6197	5234	6093	4631	4953	9080
TCEANC2	146	129	113	135	104	169	150	114	151
LOC114111306	0	0	0	0	0	0	1	0	0
CDCP2	0	0	0	0	0	0	0	0	0
LOC101121639	265	173	158	248	161	177	172	130	225
MRPL37	2217	1512	1661	2216	2075	1352	1915	1752	2462
SSBP3	669	512	563	715	693	707	525	588	603
ACOT11	22	32	17	29	6	68	37	30	47
FAM151A	326	64	220	1003	813	429	508	395	599
MROH7	0	1	0	0	0	0	0	0	0
TTC4	856	414	435	619	481	577	455	426	649
PARS2	584	255	385	202	189	338	387	260	334
LOC114114943	4	2	3	2	6	6	13	6	4
TTC22	218	143	160	195	103	74	133	143	117
LEXM	5	1	3	0	1	3	4	1	1
DHCR24	2846	1767	2024	1955	1920	4422	2131	3239	2605
LOC114111296	0	0	0	0	0	0	0	0	0
TMEM61	73	53	41	125	104	129	86	46	98
BSND	224	220	310	532	519	414	293	341	481
LOC114111012	0	0	0	0	0	0	0	0	0
USP24	2863	1718	2038	1219	998	1783	1379	1456	2052
LOC114111224	0	0	0	0	0	0	0	0	0
TRNAY-AUA	0	0	0	0	0	0	0	0	0
TRNAW-CCA_1	0	0	0	0	0	0	0	0	0
PLPP3	5247	5988	6592	3725	3425	4618	3602	4451	6249
LOC114114967	2	4	9	2	5	3	0	1	2
LOC105608340	13	11	4	4	3	7	6	16	13
PRKAA2	1164	560	689	86	90	215	423	243	597
FYB2	16	23	9	16	30	38	26	15	37
C8A	0	0	1	0	0	0	2	0	2
C8B	2	0	0	2	1	1	2	0	0
DAB1	72	15	15	23	21	23	26	16	11
